compte,libelle
6122,Achats de matières et fournitures consommables
6123,Achats d'emballages et denrées
6125,Achats non stockés de matières et fournitures
6132,Redevances de crédit-bail et licences
6133,Locations et charges locatives
6135,Entretien et réparations
6136,Rémunérations d'intermédiaires et honoraires
6142,Transports
6145,Frais postaux et de télécommunications
6157,Frais de réception et de restauration
2355,Matériel informatique
3455,État — TVA récupérable
4411,Fournisseurs
