fournisseur,ice,categorie,taux_tva_habituel,compte_comptable,recurrent,montant_moyen_ttc_mad
SOMAFER SARL,001234567000045,fournitures industrielles,20,6122,non,105223.24
PAPETERIE ATLAS,002345678000012,fournitures de bureau,20,6125,non,3185.52
TRANSPORT CHERIFIEN,003456789000078,transport,14,6142,non,29512.74
CAFE DES ORANGERS,004567890000033,restauration,10,6157,non,1834.35
INFOTECH MAROC,005678901000091,licences logicielles,20,6132,oui,9360.0
AGRIFOOD SOUSS,006789012000027,denrées,7,6123,non,5393.2
NETTOYAGE PRO,007890123000064,services généraux,20,6136,oui,3120.0
ENERGIE PLUS,008901234000019,énergie,14,6135,oui,8237.96
MAROC TELECOM ENTREPRISE,009012345000052,télécommunications,20,6145,oui,4920.0
CABINET FIDAROC,001112345000038,honoraires,20,6136,oui,5862.86
IMPRIMERIE AL MANAR,002223456000071,impression,20,6125,non,5580.26
SECURITAS MAROC,003334567000015,gardiennage,20,6136,oui,10440.0
LOCAVOIT SARL,004445678000083,location de véhicules,20,6133,non,7565.12
BUREAU VERITAS MAROC,005556789000026,certification,20,6136,non,32144.09
MEDITEL DISTRIBUTION,006667890000094,matériel informatique,20,2355,non,35214.81
