date,libelle,debit_mad,credit_mad,solde_mad
2026-02-01,VIR CABINET FIDAROC,7200.0,0.0,1165495.54
2026-02-01,VIR INFOTECH MAROC REGROUPEMENT,35207.32,0.0,1130288.22
2026-02-06,VIR ENERGIE PLUS,9368.79,0.0,1120919.43
2026-02-07,VIR SOMAFER SARL,13970.23,0.0,1106949.2
2026-02-11,VIR PAPETERIE ATLAS,4214.38,0.0,1102734.82
2026-02-16,VIR PAPETERIE ATLAS,2902.42,0.0,1099832.4
2026-02-17,AVOIR LOCAVOIT SARL,0.0,14728.25,1114560.65
2026-02-18,VIR ENERGIE PLUS,8032.35,0.0,1106528.3
2026-02-19,VIR BUREAU VERITAS MAROC,24728.86,0.0,1081799.44
2026-02-20,VIR SECURITAS MAROC,10440.0,0.0,1071359.44
2026-02-20,REGLEMENT CLIENT ONCF,0.0,610353.15,1681712.59
2026-02-23,VIR NETTOYAGE PRO ACOMPTE,2304.0,0.0,1679408.59
2026-02-27,VIR CAFE DES ORANGERS,1012.08,0.0,1678396.51
2026-02-27,VIREMENT SALAIRES,411902.7,0.0,1266493.81
2026-02-28,VIR IMPRIMERIE AL MANAR,4870.66,0.0,1261623.15
2026-02-28,AVOIR NETTOYAGE PRO,0.0,1920.0,1263543.15
2026-02-28,FRAIS DE TENUE DE COMPTE,120.0,0.0,1263423.15
